# t (s)	mx ()	my ()	mz ()
3.023816314164754e-09	0.0005979011	0.0021502166	0.7117375
3.0476190823794813e-09	0.0017052087	-0.0014464416	0.7116688
3.0714359542038798e-09	-0.0020166098	-0.0009493613	0.7114702
3.0952546149401903e-09	-1.786433e-05	0.0022263005	0.71129656
3.119053470167688e-09	0.002039061	-0.0008993212	0.7112831
3.1428735737559806e-09	-0.0016657199	-0.0014710753	0.7114406
3.1666748632109066e-09	-0.00065236003	0.0021323462	0.71164584
3.1904923384992717e-09	0.0022054801	-0.00029681748	0.7117392
3.214303139900139e-09	-0.0011978227	-0.0018862708	0.7116478
3.2381073522104202e-09	-0.0012204769	0.0018670505	0.71144295
3.261915506880849e-09	0.0022132732	0.00032778704	0.7112841
3.285727984632828e-09	-0.0006177703	-0.0021536814	0.71129537
3.3095255308771105e-09	-0.0016970254	0.0014618174	0.7114676
3.333348854118262e-09	0.0020462535	0.00093779975	0.71166694
3.3571568953446274e-09	-9.275409e-06	-0.0022467177	0.7117376
3.380964786712258e-09	-0.0020441317	0.00095321843	0.71162486
3.4047624530841715e-09	0.0017132984	0.0014601861	0.7114165
3.4285840603089433e-09	0.00060283917	-0.002174608	0.7112746
3.4523851985832485e-09	-0.002225872	0.00035057135	0.7113102
3.4761908172894355e-09	0.0012538184	0.0018717652	0.7114952
3.500011691996958e-09	0.0011791394	-0.0019243412	0.71168566
3.5238156063369333e-09	-0.0022321518	-0.00025941062	0.711733
3.5476253115917996e-09	0.0006980272	0.0021415376	0.71160036
